1,0,0,0,0,0,0
0.2,0,0,0,0,0,0
0.04,0,0,0,0,0,0
1,0.2,0,0,0,0,0
0.2,0.2,0,0,0,0,0
0.04,0.2,0,0,0,0,0
1,1,0,0,0,0,0
0.2,1,0,0,0,0,0
0.04,1,0,0,0,0,0
1,0,1,0,0,0,0
0.2,0,1,0,0,0,0
0.04,0,1,0,0,0,0
1,0,0.2,0,0,0,0
0.2,0,0.2,0,0,0,0
0.04,0,0.2,0,0,0,0
1,0,0,1,0,0,0
0.2,0,0,1,0,0,0
0.04,0,0,1,0,0,0
0.04,0,0,0,0,0,1
0.04,0,0,0,0,1,1
0.04,0,1,0,0,0,1
0.04,1,0,0,0,0,1
0.04,0,0,0,1,0,1
0.04,0,0,1,0,0,1
0.04,0,0,0,1,0,0
0.04,0,0,0,0,1,0
0.04,0,1,0,0,1,0
0.04,1,0,0,0,1,0
0.04,0,0,0,1,1,0
0.04,0,0,1,0,1,0
0.04,0,0,1,1,0,0
0.04,0,0,1,0,0,0
0.04,0,1,0,0,0,0
0.04,1,1,0,0,0,0
0.04,0,1,0,1,0,0
0.04,0,1,1,0,0,0
0.04,0,0,0,0,0,0
0.04,1,0,0,0,0,0
0.04,1,0,0,1,0,0
0.04,1,0,1,0,0,0
